Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,1,Yes,No,8064,9367,7658,180,1,Yes,Yes
Female,Yes,0,No,Yes,5512,3615,8324,360,1,No,Yes
Male,No,3+,Yes,Yes,7729,4167,6701,180,0,Yes,Yes
Female,No,3+,No,Yes,6248,6855,9651,240,1,No,No
Male,No,2,No,Yes,5174,2506,9157,240,1,Yes,Yes
Male,Yes,3+,No,Yes,4115,5406,2992,240,1,No,No
Female,No,1,Yes,No,4690,5500,4790,240,1,Yes,No
Male,No,1,No,No,1444,8643,9062,180,1,No,Yes
Female,No,3+,No,No,9331,8671,9681,360,0,No,Yes
Male,Yes,2,No,No,2648,6715,7722,180,1,No,Yes
Female,Yes,1,Yes,Yes,4677,4693,2579,240,1,No,Yes
Female,No,0,No,No,7314,5871,5933,180,1,No,No
Male,No,1,No,Yes,3783,6267,9890,180,1,Yes,Yes
Male,No,0,No,No,7035,6251,1798,180,1,No,No
Male,No,2,Yes,Yes,8751,6471,9605,180,1,Yes,Yes
Male,Yes,2,No,Yes,5769,5364,6360,360,1,No,No
Male,No,1,No,Yes,7364,9730,1142,360,1,Yes,Yes
Female,No,1,No,No,5979,5699,1600,240,1,Yes,No
Male,Yes,3+,Yes,No,9279,6061,6095,180,0,Yes,No
Male,No,2,Yes,Yes,7472,3997,4893,180,1,Yes,Yes
Male,Yes,0,No,No,2758,1439,5832,180,1,No,No
Female,Yes,0,No,No,3246,2244,1950,360,1,No,Yes
Female,No,2,No,No,7041,1685,6086,360,0,No,No
Female,Yes,0,No,No,8876,8821,5588,360,0,No,Yes
Female,Yes,1,Yes,No,4186,6546,3529,240,0,No,Yes
Male,Yes,3+,No,Yes,5747,4002,4441,360,0,Yes,Yes
Male,No,3+,Yes,Yes,6111,7975,4448,240,1,No,No
Male,No,3+,Yes,Yes,9180,5746,8288,180,1,Yes,Yes
Female,Yes,2,Yes,Yes,3954,7689,7792,240,0,No,No
Male,No,3+,No,Yes,4988,2698,9068,360,1,No,Yes
Female,Yes,1,Yes,Yes,6809,2800,6761,240,0,No,Yes
Female,Yes,0,No,Yes,9425,5367,9362,240,1,Yes,No
Male,No,3+,Yes,Yes,3220,9229,3515,240,1,Yes,Yes
Male,No,1,Yes,Yes,1775,5600,7069,240,0,Yes,No
Female,No,2,Yes,No,4768,6094,4701,240,1,No,No
Female,No,2,Yes,Yes,3881,9273,7620,360,1,Yes,Yes
Male,No,2,No,Yes,5950,1744,6924,360,1,Yes,Yes
Male,Yes,3+,No,Yes,1587,9857,1524,360,1,Yes,No
Female,Yes,1,No,No,3243,6229,6796,240,1,No,No
Male,No,0,Yes,Yes,3611,1632,2606,360,0,No,Yes
Female,Yes,3+,Yes,Yes,7433,5847,2367,180,1,Yes,Yes
Female,No,2,No,Yes,8302,2015,1698,240,1,No,Yes
Male,Yes,3+,No,Yes,2753,1082,7386,240,0,Yes,No
Male,Yes,2,No,Yes,8375,7256,6844,240,1,Yes,No
Male,Yes,1,Yes,Yes,5003,2723,9199,180,1,No,No
Female,No,1,No,Yes,1106,6815,3235,180,1,Yes,No
Female,No,0,Yes,Yes,7520,2878,5367,180,1,Yes,Yes
Female,No,2,No,Yes,4944,4914,6742,360,1,Yes,Yes
Male,Yes,3+,Yes,Yes,3610,8903,4997,240,0,No,No
Male,Yes,3+,Yes,No,2313,3418,5670,180,1,No,Yes
Female,No,2,Yes,Yes,8699,1608,1136,360,0,No,No
Female,Yes,1,Yes,No,5987,5878,4070,240,1,Yes,No
Female,Yes,3+,Yes,No,8523,5378,4460,180,1,No,No
Male,Yes,2,No,No,1193,9227,6002,360,1,Yes,Yes
Female,No,0,Yes,No,7545,3702,6776,180,1,Yes,Yes
Male,Yes,3+,Yes,No,9251,3269,6919,180,1,No,Yes
Male,Yes,2,No,No,8491,3499,8088,240,1,No,No
Female,No,0,Yes,No,2489,3422,6376,180,1,Yes,No
Female,No,0,No,Yes,8775,1277,3115,180,1,Yes,Yes
Male,No,3+,Yes,No,8633,5391,6184,180,1,No,Yes
Female,No,1,No,Yes,2609,8703,8223,240,0,Yes,No
Male,No,3+,Yes,No,8071,4837,8629,240,0,Yes,Yes
Male,Yes,0,Yes,Yes,3316,8257,1134,360,1,Yes,No
Male,No,0,Yes,Yes,4765,4713,9652,240,1,Yes,Yes
Female,No,3+,No,No,4345,7091,3937,180,1,Yes,No
Female,No,3+,Yes,No,1608,3790,1141,180,1,Yes,No
Male,Yes,1,Yes,No,8026,3279,3272,180,1,Yes,Yes
Male,Yes,3+,Yes,No,8853,3618,4448,180,1,Yes,Yes
Male,No,0,Yes,Yes,4163,9079,3864,240,1,No,No
Male,Yes,0,Yes,Yes,3388,9554,7394,360,0,No,No
Male,Yes,0,No,No,2922,8570,6374,180,0,No,Yes
Male,Yes,1,Yes,Yes,7285,8995,9471,180,1,Yes,No
Female,Yes,2,Yes,Yes,1525,4529,7473,180,1,No,Yes
Female,Yes,1,Yes,Yes,9645,4862,4461,360,0,Yes,Yes
Female,Yes,0,No,Yes,5146,5843,7830,180,1,No,No
Female,No,3+,Yes,Yes,6011,8317,9741,360,1,No,Yes
Male,No,2,No,Yes,4456,3103,6080,360,1,No,No
Female,Yes,3+,Yes,Yes,4511,9815,6421,360,0,No,Yes
Female,No,3+,Yes,No,1874,6389,8635,180,1,No,No
Male,No,0,Yes,No,3809,2213,3958,180,1,No,Yes
Male,Yes,2,Yes,No,1944,3376,7499,240,1,No,No
Female,No,0,Yes,Yes,1214,7263,5844,180,1,Yes,Yes
Female,Yes,3+,No,No,7694,3959,3354,240,1,Yes,No
Male,No,3+,No,Yes,2527,7086,9450,360,1,No,No
Male,Yes,3+,No,No,9808,2937,3275,180,0,Yes,No
Male,Yes,0,No,Yes,5221,8766,5354,180,1,Yes,Yes
Female,Yes,2,No,Yes,9287,1780,4708,240,1,Yes,Yes
Female,Yes,1,Yes,No,7400,5985,7292,180,0,Yes,No
Male,No,0,Yes,Yes,8182,5544,3541,360,1,Yes,No
Female,No,0,Yes,Yes,2335,2650,6695,180,1,Yes,No
Female,No,3+,No,Yes,6198,9842,6377,240,0,Yes,Yes
Male,Yes,3+,Yes,Yes,2103,4982,3326,360,1,Yes,Yes
Male,No,2,Yes,Yes,4871,1454,6319,360,1,No,No
Female,No,0,No,Yes,2095,4978,1789,240,1,Yes,No
Male,Yes,1,No,Yes,4618,6496,2211,360,1,No,No
Female,Yes,2,Yes,Yes,2802,5880,7729,360,0,Yes,No
Female,No,0,No,Yes,3777,9174,9310,360,1,Yes,Yes
Male,Yes,2,Yes,Yes,4803,2793,1454,360,1,No,No
Male,Yes,2,No,No,7475,3427,1991,180,1,Yes,Yes
Male,No,1,Yes,No,2435,3577,2219,180,1,No,Yes
Male,Yes,0,No,No,9681,8988,5446,180,1,Yes,Yes
Female,No,2,No,No,4917,5514,7562,240,1,Yes,Yes
Female,No,1,Yes,No,3589,8085,6132,240,1,Yes,No
Male,No,2,No,Yes,6580,6113,9037,180,1,Yes,Yes
Female,Yes,3+,Yes,No,6972,8614,6383,240,1,No,Yes
Female,No,2,Yes,Yes,4864,5020,4746,180,1,No,No
Male,No,2,Yes,Yes,3065,5231,4533,180,1,No,Yes
Female,Yes,0,Yes,No,5905,4127,2858,240,1,Yes,No
Male,Yes,3+,Yes,Yes,7328,3926,5324,180,1,Yes,No
Male,Yes,3+,Yes,Yes,8157,8569,3405,240,1,No,No
Female,No,2,Yes,No,5420,2480,8599,240,1,No,Yes
Male,Yes,0,Yes,No,2437,8920,7635,180,1,Yes,Yes
Female,Yes,3+,No,No,5548,2927,7250,240,1,No,No
Female,Yes,1,Yes,No,1903,5589,4609,240,1,Yes,Yes
Female,Yes,0,No,Yes,3267,6132,7967,240,1,Yes,No
Female,No,3+,No,No,3777,9778,8494,360,1,No,Yes
Male,No,1,Yes,No,2685,9341,3599,360,1,Yes,No
Female,No,2,No,Yes,8929,6160,7584,240,1,No,No
Male,No,2,Yes,Yes,7794,7431,7799,360,0,Yes,No
Male,No,1,Yes,Yes,7456,1678,7426,360,1,Yes,No
Male,No,1,Yes,No,8655,4172,7259,240,1,No,No
Male,Yes,1,No,Yes,1971,4145,8716,180,1,No,Yes
Female,Yes,2,Yes,Yes,9911,4533,1085,240,1,No,Yes
Female,No,0,No,No,9195,9183,4487,360,1,No,Yes
Female,No,0,No,Yes,6114,1200,3978,360,1,No,No
Male,Yes,3+,Yes,No,9595,6324,1506,360,1,No,Yes
Female,Yes,2,Yes,No,9802,1402,1278,180,1,No,No
Female,No,2,Yes,Yes,7316,3288,4087,360,1,Yes,Yes
Female,Yes,2,Yes,Yes,7070,9964,4909,180,0,No,Yes
Male,Yes,0,Yes,Yes,9669,7076,4611,360,1,No,Yes
Female,No,1,No,Yes,7208,1123,9652,360,1,No,Yes
Male,Yes,0,No,No,5553,8606,8184,240,1,Yes,Yes
Female,Yes,0,Yes,No,9795,8274,2148,180,1,No,No
Female,Yes,0,Yes,No,7913,1489,4809,180,0,No,Yes
Male,Yes,3+,Yes,Yes,1159,5109,5718,240,1,No,Yes
Female,No,3+,No,No,1200,8506,3493,240,0,Yes,No
Female,No,3+,Yes,No,6203,8298,4122,360,1,Yes,Yes
Male,Yes,1,No,Yes,7990,6555,2690,360,1,Yes,Yes
Male,No,0,Yes,No,6196,3669,1059,360,1,No,Yes
Female,No,0,Yes,Yes,5024,9595,6336,360,1,No,Yes
Female,Yes,0,No,Yes,9956,4154,6010,180,1,No,No
Male,Yes,2,Yes,No,1235,5374,4662,360,1,No,Yes
Female,No,0,No,No,4314,5711,1246,180,1,Yes,Yes
Female,Yes,0,No,No,1043,4976,9427,180,1,Yes,Yes
Male,Yes,1,No,No,6656,3566,3528,180,1,No,Yes
Female,No,3+,No,No,2499,5358,8346,180,1,No,Yes
Male,Yes,0,No,No,9309,5717,6227,240,1,Yes,Yes
Female,Yes,2,Yes,No,7802,9050,4015,360,1,No,No
Female,Yes,0,No,No,2678,9769,1092,180,1,Yes,Yes
Female,No,3+,Yes,Yes,8279,3886,7588,240,1,Yes,Yes
Female,Yes,0,Yes,No,9438,6850,9271,180,1,Yes,Yes
Male,Yes,3+,No,Yes,9333,7062,4407,180,0,Yes,Yes
Male,No,0,Yes,Yes,4842,4230,5668,360,1,Yes,No
Female,Yes,1,No,Yes,9560,4878,4067,180,1,Yes,Yes
Female,No,1,No,No,4988,2932,4580,240,1,No,No
Male,No,0,No,Yes,6673,8946,9809,360,1,Yes,Yes
Male,Yes,3+,Yes,No,8247,5473,7925,360,1,Yes,Yes
Female,Yes,1,Yes,Yes,5666,6094,5673,180,1,Yes,Yes
Male,Yes,3+,Yes,Yes,7576,1494,3126,360,1,Yes,Yes
Female,No,3+,Yes,No,6547,2055,9996,180,1,Yes,Yes
Female,No,1,Yes,No,1219,5717,9733,180,0,Yes,Yes
Male,Yes,0,No,No,4389,2685,5184,360,1,Yes,No
Male,No,2,Yes,Yes,2154,5759,2068,360,0,No,Yes
Male,No,3+,No,Yes,3371,1000,9578,180,1,No,Yes
Male,No,1,Yes,No,1094,6293,4646,360,1,Yes,No
Female,Yes,3+,Yes,Yes,2018,2868,4008,240,1,Yes,No
Female,Yes,1,Yes,Yes,9128,1986,2970,360,1,Yes,Yes
Female,No,3+,No,No,3697,7631,4653,240,0,Yes,No
Male,No,2,Yes,Yes,2359,1118,4054,360,1,Yes,No
Female,Yes,2,Yes,No,6573,3591,7523,360,1,Yes,No
Female,No,3+,No,Yes,3267,3561,6527,180,1,No,No
Male,No,1,No,No,9769,3633,8036,180,0,Yes,No
Male,Yes,1,No,Yes,6772,1412,6002,180,1,Yes,No
Male,No,3+,Yes,No,9818,3943,5092,360,1,No,Yes
Male,Yes,1,No,Yes,5602,8216,7079,240,0,No,Yes
Male,No,0,Yes,No,2949,6861,6781,180,1,Yes,No
Female,Yes,3+,Yes,No,6150,3936,4415,180,0,No,No
Male,No,0,Yes,Yes,5358,3287,8765,240,1,No,Yes
Female,No,3+,No,No,5403,2749,5476,360,1,Yes,No
Male,Yes,1,Yes,No,7690,7232,6547,240,1,No,No
Male,Yes,1,No,Yes,2238,8487,8814,180,1,No,No
Female,Yes,1,Yes,Yes,6521,1250,7784,360,1,No,No
Female,Yes,1,No,No,7873,3794,7089,360,1,Yes,Yes
Female,Yes,1,Yes,Yes,5097,2518,1386,240,1,No,No
Female,No,3+,Yes,Yes,1909,3865,6853,360,1,Yes,No
Male,No,3+,Yes,Yes,4916,6811,8511,240,0,No,No
Male,No,1,No,Yes,9804,1365,7436,360,1,Yes,Yes
Female,No,2,Yes,Yes,3957,4863,4026,180,1,No,Yes
Male,No,3+,No,Yes,7714,6471,1686,180,1,Yes,No
Female,Yes,3+,No,Yes,7701,3505,7947,360,1,No,Yes
Female,No,0,Yes,No,3854,9264,9490,180,1,No,No
Male,No,0,No,Yes,9826,2202,6402,180,1,Yes,No
Male,Yes,3+,No,No,8095,4224,1155,360,0,No,Yes
Male,No,2,No,Yes,1010,7553,2653,240,1,Yes,Yes
Female,Yes,3+,No,Yes,1778,7924,5961,180,1,No,Yes
Male,Yes,0,Yes,Yes,4953,6465,6058,240,1,No,No
Female,No,1,No,No,8260,8630,1751,360,1,No,No
Female,No,3+,No,No,4074,5855,9266,360,0,Yes,Yes
Female,Yes,3+,No,No,6672,1294,9876,240,1,No,No
Female,No,1,Yes,No,8686,9127,2082,180,1,No,Yes
Male,No,2,Yes,No,2700,4374,1029,240,1,Yes,No
Male,Yes,1,No,No,6947,5770,7356,180,1,Yes,No
Female,No,3+,Yes,No,2356,3107,5940,180,0,No,Yes
Female,Yes,3+,Yes,Yes,2234,2730,6244,360,1,No,No
Female,No,0,No,No,5779,5346,1667,360,1,Yes,Yes
Male,No,2,No,Yes,1770,5853,8783,180,0,Yes,Yes
Female,No,1,No,No,7210,4042,6909,360,1,Yes,No
Male,Yes,2,Yes,Yes,2350,6248,9628,360,1,No,No
Male,Yes,2,Yes,No,9659,4184,6195,360,1,Yes,Yes
Male,No,0,Yes,Yes,9212,1172,5703,180,1,Yes,Yes
Female,No,3+,Yes,Yes,9957,3548,4500,240,1,Yes,Yes
Female,No,1,No,Yes,6074,4498,8029,360,0,Yes,No
Male,Yes,3+,Yes,No,8382,3812,3153,180,1,Yes,No
Female,Yes,0,Yes,No,2403,9210,3014,180,1,No,No
Female,Yes,3+,Yes,Yes,8563,4524,5987,360,1,No,Yes
Male,Yes,2,No,Yes,2124,4153,1712,240,1,Yes,No
Female,Yes,0,No,Yes,9492,8801,3312,360,0,Yes,No
Female,No,0,Yes,No,7219,6164,2080,180,1,No,Yes
Female,Yes,3+,No,Yes,5477,9529,9122,180,1,Yes,Yes
Male,No,1,Yes,Yes,1151,2771,5389,240,1,No,Yes
Female,No,2,No,No,1369,5181,9822,360,0,Yes,Yes
Female,No,0,No,No,8761,2323,8458,180,1,Yes,Yes
Female,Yes,3+,No,Yes,4833,7468,9331,180,1,No,Yes
Female,Yes,3+,Yes,Yes,9467,5274,6769,240,1,Yes,No
Male,Yes,1,No,No,3482,7560,8040,360,1,Yes,Yes
Male,Yes,2,Yes,No,4876,5450,6646,180,1,No,No
Female,Yes,2,No,Yes,5612,5619,2296,240,1,Yes,No
Female,No,0,No,No,9616,6829,4207,240,1,Yes,No
Female,Yes,0,No,Yes,6633,3859,3414,180,1,No,No
Female,Yes,2,Yes,Yes,3526,5848,4520,360,1,No,No
Female,Yes,2,No,Yes,2976,6358,9648,360,0,Yes,Yes
Female,No,3+,No,Yes,3022,1921,7990,180,0,Yes,No
Male,Yes,2,Yes,Yes,4973,5543,1060,180,1,Yes,Yes
Female,Yes,1,Yes,Yes,2615,2106,1839,360,1,No,No
Female,No,1,Yes,No,6234,1829,6351,240,1,Yes,Yes
Female,Yes,2,Yes,No,2219,6269,3878,180,0,Yes,Yes
Female,No,0,No,No,2531,5119,3934,240,0,No,No
Female,No,1,No,Yes,2688,7154,1741,240,1,Yes,No
Female,Yes,1,No,Yes,8681,9846,2861,360,1,Yes,Yes
Female,Yes,2,No,No,1012,8922,3201,180,0,Yes,No
Female,No,0,Yes,No,1364,6096,6502,180,0,Yes,No
Male,Yes,0,Yes,No,4380,1425,5652,360,1,Yes,No
Male,Yes,1,Yes,No,2391,3652,6276,240,1,Yes,Yes
Female,Yes,2,Yes,No,3275,3651,9446,360,1,No,No
Male,No,2,Yes,No,1287,5758,3113,180,0,Yes,Yes
Female,No,1,Yes,Yes,4015,6947,6299,360,1,Yes,Yes
Male,No,1,No,No,3103,8072,8726,360,1,No,No
Female,No,0,Yes,Yes,6912,5293,8017,360,1,Yes,Yes
Male,No,0,Yes,No,5242,1632,1392,240,1,Yes,Yes
Male,No,0,No,Yes,4990,6710,2507,360,1,Yes,Yes
Female,Yes,0,Yes,Yes,5212,5921,9790,240,0,Yes,Yes
Male,Yes,1,Yes,Yes,5585,7254,4095,360,1,No,Yes
Female,Yes,1,Yes,No,3370,8113,2186,240,1,No,No
Female,Yes,3+,Yes,No,4249,1523,6151,180,1,Yes,Yes
Female,No,3+,Yes,No,7261,3160,8748,180,1,No,No
Male,No,3+,No,Yes,4101,7834,8808,240,1,No,No
Male,Yes,1,No,No,6584,9019,8762,180,0,No,No
Male,Yes,3+,No,No,6045,2834,8680,240,0,No,Yes
Male,Yes,2,Yes,Yes,4667,3209,1876,360,1,No,No
Male,No,3+,Yes,No,1791,7214,3274,240,1,Yes,Yes
Female,No,2,No,Yes,8322,8191,6254,360,1,No,Yes
Male,No,3+,Yes,Yes,3155,5860,6146,240,1,Yes,No
Female,Yes,2,Yes,No,3132,1541,4027,180,0,No,Yes
Female,No,3+,No,No,3994,2378,5491,360,0,Yes,Yes
Female,No,3+,No,Yes,4787,8463,5797,240,1,Yes,No
Male,No,1,No,No,3585,7254,9989,360,1,Yes,No
Male,Yes,0,No,No,3835,7503,6152,360,1,Yes,Yes
Female,No,1,No,No,2393,9258,9845,180,1,No,Yes
Female,Yes,0,Yes,Yes,6373,9629,3233,240,0,Yes,No
Male,Yes,3+,Yes,No,1781,4541,7795,240,1,No,No
Male,Yes,3+,No,Yes,3028,1723,5737,360,1,Yes,Yes
Male,Yes,2,Yes,No,1940,2441,2277,360,1,No,Yes
Female,No,2,Yes,No,1672,1220,1336,180,1,No,Yes
Female,Yes,2,Yes,No,7929,2822,6352,360,1,No,No
Male,Yes,0,No,No,2998,1058,7887,360,1,Yes,Yes
Male,Yes,3+,Yes,Yes,1934,8838,6584,360,1,No,No
Female,No,0,No,Yes,1977,3766,2370,180,1,No,No
Female,No,0,No,No,8936,7802,6354,180,0,Yes,Yes
Female,Yes,3+,No,No,2799,3486,5621,180,1,No,No
Female,No,3+,No,Yes,5859,5520,6980,240,1,Yes,Yes
Female,Yes,1,Yes,Yes,5435,4468,2703,360,1,Yes,No
Male,Yes,0,No,Yes,8581,6146,1698,240,1,Yes,No
Female,Yes,2,No,No,7640,6794,7577,240,1,No,Yes
Male,Yes,2,No,No,7649,2420,1358,240,0,No,Yes
Male,Yes,2,Yes,No,8560,5517,4747,180,0,No,No
Female,Yes,3+,Yes,Yes,9542,5043,6122,180,1,Yes,No
Female,Yes,0,Yes,Yes,7944,4828,6325,240,1,Yes,Yes
Male,No,2,Yes,Yes,7078,2634,4173,240,1,Yes,No
Female,Yes,2,Yes,Yes,2006,6707,2239,180,1,No,Yes
Female,No,2,Yes,Yes,5770,9733,3991,360,1,No,No
Male,Yes,3+,Yes,Yes,9128,2567,6591,180,1,No,Yes
Female,No,0,No,Yes,7282,4259,5650,240,1,No,Yes
Male,No,2,No,Yes,8719,3967,2451,180,1,Yes,Yes
Male,Yes,2,Yes,No,9061,2306,6885,240,1,Yes,No
Female,No,1,No,Yes,6752,7762,8628,180,0,Yes,No
Female,No,2,Yes,No,9880,9774,1744,360,1,No,Yes
Female,No,0,No,Yes,9673,8837,3029,240,1,No,No
Male,No,3+,Yes,No,8233,2313,4891,360,1,Yes,No
Male,No,3+,Yes,No,6983,3977,3638,360,1,No,Yes
Male,Yes,3+,No,No,1438,7417,7925,240,1,Yes,Yes
Male,No,2,No,Yes,4828,7918,5351,180,0,No,No
Female,No,2,Yes,Yes,6867,7216,9212,360,0,No,Yes
Female,No,1,Yes,No,7958,2011,8505,360,1,Yes,Yes
Female,Yes,3+,Yes,Yes,5495,8626,5041,360,1,No,No
Male,No,2,No,Yes,4172,5688,4599,360,1,Yes,No
Male,No,0,Yes,Yes,3239,4803,1242,360,1,Yes,Yes
Male,Yes,0,Yes,No,8457,9591,6846,240,0,Yes,No
Male,Yes,1,Yes,Yes,8166,4557,6181,240,1,Yes,Yes
Male,No,1,No,Yes,2031,2982,7049,360,1,No,No
Male,No,0,Yes,Yes,8730,7756,3013,180,1,No,Yes
Female,No,3+,Yes,Yes,8210,4745,9488,180,1,No,No
Female,Yes,0,No,Yes,6368,8892,1207,180,1,No,No
Female,Yes,0,Yes,No,3960,6856,9451,180,1,No,No
Female,Yes,3+,Yes,No,1559,1100,4159,240,1,Yes,No
Male,No,2,No,No,4338,6835,2830,240,1,No,No
Female,No,3+,No,Yes,7486,9488,2333,180,1,No,Yes
Female,Yes,3+,Yes,No,6682,3107,2595,240,0,No,No
Female,Yes,3+,Yes,No,4243,5155,7869,360,0,Yes,Yes
Male,Yes,2,No,Yes,9640,8860,8159,180,1,Yes,Yes
Male,No,0,No,No,4878,8589,4589,240,1,No,Yes
Female,No,1,Yes,No,2016,7099,5966,240,1,No,No
Female,Yes,1,No,Yes,5488,7777,7435,240,1,Yes,Yes
Male,No,1,Yes,No,7183,4116,8750,240,1,Yes,No
Female,No,3+,Yes,No,7364,8647,8818,240,1,No,Yes
Male,Yes,1,Yes,No,1956,4390,1626,240,1,Yes,No
Female,No,3+,Yes,Yes,5131,7627,1673,360,1,Yes,No
Female,Yes,2,Yes,Yes,9663,1775,8802,240,1,Yes,Yes
Male,No,1,No,Yes,9483,2021,5649,240,1,No,Yes
Female,Yes,0,Yes,No,1861,1217,4260,180,0,Yes,No
Female,Yes,3+,No,Yes,4573,6462,1983,240,1,Yes,No
Female,Yes,3+,Yes,Yes,8106,1865,9869,240,1,Yes,No
Female,Yes,2,No,Yes,8572,6238,1443,360,1,No,No
Female,Yes,0,Yes,No,2924,5558,3277,180,1,Yes,Yes
Female,No,0,No,No,9615,8363,1918,360,1,Yes,No
Female,No,0,Yes,No,4092,2495,4043,240,1,No,No
Female,No,0,Yes,Yes,5023,5587,5319,360,1,No,Yes
Male,No,3+,No,Yes,5271,4349,3402,180,0,Yes,Yes
Female,No,1,No,No,5323,8064,8343,180,0,Yes,Yes
Female,Yes,2,No,Yes,4511,4950,2514,360,1,Yes,No
Male,Yes,1,No,No,2178,6813,1304,180,1,Yes,Yes
Female,Yes,0,No,No,5829,7465,5505,180,1,No,No
Male,Yes,1,Yes,No,5088,5200,3477,180,1,No,Yes
Female,Yes,2,Yes,No,5654,4631,9376,240,1,No,No
Male,Yes,3+,No,Yes,2834,7411,8387,180,1,No,Yes
Female,Yes,3+,No,No,2880,6849,2054,240,1,Yes,No
Male,No,2,No,No,1958,6436,2597,180,1,Yes,Yes
Male,No,0,No,No,6153,8087,5977,180,1,No,Yes
Female,Yes,3+,Yes,No,8833,1638,8684,240,1,No,Yes
Female,Yes,0,Yes,No,5577,8418,2441,360,0,Yes,Yes
Male,No,3+,No,No,1142,6666,8824,180,1,No,Yes
Male,No,0,No,No,9951,3321,6116,360,1,Yes,Yes
Female,No,2,Yes,No,4795,5395,4958,180,1,Yes,Yes
Female,Yes,3+,No,No,1112,6079,4660,180,1,Yes,No
Female,Yes,1,No,No,8217,3904,3038,360,1,Yes,Yes
Female,Yes,2,Yes,Yes,5196,3605,2762,180,1,No,Yes
Male,Yes,0,Yes,No,6171,7821,1779,240,0,No,Yes
Male,No,3+,Yes,No,8316,1656,6242,180,1,No,Yes
Male,No,2,Yes,Yes,6131,8009,8500,360,1,Yes,Yes
Male,No,0,Yes,No,1695,5894,3726,240,1,Yes,No
Female,No,2,No,Yes,3445,5770,2154,180,1,No,Yes
Female,No,0,Yes,No,2952,7382,2581,180,0,No,No
Male,Yes,2,No,No,4474,4487,1059,360,0,Yes,No
Male,No,1,Yes,Yes,1565,3379,5607,180,1,No,Yes
Female,Yes,1,Yes,Yes,1531,5380,3993,240,1,Yes,No
Female,Yes,3+,No,No,2678,8252,3277,360,1,Yes,Yes
Female,No,0,No,Yes,2031,2127,7048,180,1,No,Yes
Male,Yes,3+,No,No,4722,7297,3189,240,1,Yes,No
Male,No,0,Yes,No,5295,5066,5989,360,1,No,Yes
Male,Yes,3+,Yes,No,5999,2629,8641,240,0,No,No
Female,No,3+,Yes,No,2546,5559,7578,240,1,Yes,Yes
Male,Yes,3+,No,No,7807,1049,1213,240,1,Yes,No
Male,No,0,Yes,No,1027,5174,9810,240,0,No,No
Female,Yes,3+,Yes,No,8190,4504,7511,360,1,Yes,No
Female,No,0,Yes,No,3912,9524,2360,240,0,No,No
Male,Yes,2,No,No,2102,2111,2384,240,1,Yes,Yes
Female,No,2,No,Yes,1749,4254,9181,360,0,No,No
Male,Yes,1,Yes,Yes,2809,3447,1047,360,1,No,Yes
Female,Yes,0,Yes,No,3915,5487,4675,360,1,Yes,Yes
Female,Yes,2,Yes,Yes,5121,3167,8433,180,1,Yes,Yes
Male,No,2,Yes,No,4033,6487,6355,180,1,Yes,Yes
Male,No,2,No,Yes,7461,3967,6343,180,0,Yes,No
Female,Yes,3+,No,Yes,4987,6390,9130,180,1,No,No
Male,No,2,Yes,Yes,2509,1931,9168,240,1,Yes,Yes
Male,Yes,0,No,No,9243,8878,7271,240,1,No,Yes
Female,No,2,Yes,No,6094,4518,3682,360,1,Yes,No
Female,No,3+,Yes,Yes,3999,9240,3726,240,1,Yes,No
Female,Yes,1,Yes,Yes,5869,5196,4576,240,1,No,Yes
Male,No,2,No,No,6914,7618,8126,240,1,Yes,Yes
Female,Yes,0,Yes,Yes,6804,9482,4468,180,1,No,Yes
Male,No,1,No,Yes,8429,3735,7486,180,1,Yes,Yes
Female,No,1,No,Yes,7414,8895,9529,240,1,No,No
Male,No,0,Yes,No,5196,8330,5986,240,1,No,No
Male,Yes,0,Yes,No,4680,3242,2239,360,1,No,No
Male,No,0,Yes,Yes,6948,9613,1807,360,1,No,No
Male,No,3+,Yes,No,9580,9463,8699,240,1,Yes,Yes
Male,No,3+,Yes,Yes,5845,2912,5850,360,1,No,No
Female,No,2,Yes,Yes,9751,1577,3641,180,1,Yes,Yes
Female,Yes,0,No,No,7984,1752,4186,240,1,Yes,Yes
Female,No,3+,No,No,8794,6166,1277,180,0,Yes,Yes
Female,Yes,3+,No,No,4904,3601,5639,180,1,No,Yes
Male,Yes,1,No,Yes,8132,2847,5870,180,1,No,No
Female,No,1,No,Yes,3542,6787,3892,180,1,No,Yes
Female,No,1,No,Yes,1659,6972,4874,240,1,No,Yes
Female,No,1,Yes,No,7814,1970,2420,240,1,No,No
Male,No,3+,No,No,4403,3384,6870,240,1,No,Yes
Male,Yes,2,Yes,No,5150,4656,3446,180,1,Yes,Yes
Male,No,3+,Yes,No,4737,8956,5041,360,1,Yes,Yes
Male,Yes,0,Yes,No,3185,6786,7749,180,0,Yes,Yes
Female,No,2,Yes,No,6109,4859,5638,180,1,Yes,Yes
Female,Yes,3+,No,No,5978,3232,6668,360,1,Yes,No
Male,No,3+,Yes,No,6189,5162,2349,240,1,No,No
Female,Yes,2,No,Yes,1221,2284,5663,360,1,No,Yes
Male,Yes,0,No,Yes,1976,8548,8310,240,1,Yes,Yes
Male,No,1,Yes,Yes,8118,5916,5890,180,1,Yes,Yes
Female,Yes,2,Yes,No,9540,1820,4485,180,1,No,No
